"Rk.","Team","Season","Pitches_empty","Tempo_empty","TimerEquiv._empty","Fast %_empty","Slow %_empty","Pitches_onBase","Tempo_onBase","TimerEquiv._onBase","Fast %_onBase","Slow %_onBase"
"36"," Marlins"," 2011"," 6684"," 15.8"," 9.8"," 41.1%"," 0.9%"," 3798"," 23.0"," 17.0"," 1.5%"," 12.8%"," 
                Compare
            "
"37"," Reds"," 2010"," 7134"," 15.8"," 9.8"," 43.1%"," 2.7%"," 4524"," 21.0"," 15.0"," 5.3%"," 11.0%"," 
                Compare
            "
"38"," Brewers"," 2011"," 6804"," 15.8"," 9.8"," 40.8%"," 2.1%"," 4041"," 23.3"," 17.3"," 1.2%"," 14.6%"," 
                Compare
            "
"39"," Padres"," 2012"," 6910"," 15.8"," 9.8"," 40.9%"," 1.6%"," 3851"," 22.1"," 16.1"," 1.7%"," 13.1%"," 
                Compare
            "
"40"," Phillies"," 2011"," 6525"," 15.8"," 9.8"," 39.4%"," 1.1%"," 3742"," 19.9"," 13.9"," 5.3%"," 7.6%"," 
                Compare
            "
"41"," Nationals"," 2013"," 6739"," 15.8"," 9.8"," 41.3%"," 1.3%"," 3867"," 21.1"," 15.1"," 2.9%"," 9.4%"," 
                Compare
            "
"42"," Cardinals"," 2017"," 7036"," 15.8"," 9.8"," 40.4%"," 0.8%"," 3962"," 23.1"," 17.1"," 1.4%"," 10.2%"," 
                Compare
            "
"43"," Royals"," 2012"," 6861"," 15.9"," 9.9"," 40.8%"," 1.9%"," 4260"," 22.4"," 16.4"," 2.2%"," 14.2%"," 
                Compare
            "
"44"," Padres"," 2013"," 6984"," 15.9"," 9.9"," 38.8%"," 1.7%"," 4121"," 22.6"," 16.6"," 1.7%"," 11.7%"," 
                Compare
            "
"45"," Cardinals"," 2013"," 6553"," 15.9"," 9.9"," 39.4%"," 1.4%"," 3932"," 23.7"," 17.7"," 1.8%"," 12.1%"," 
                Compare
            "
"46"," Orioles"," 2010"," 6744"," 15.9"," 9.9"," 42.5%"," 2.8%"," 4673"," 21.0"," 15.0"," 4.2%"," 10.5%"," 
                Compare
            "
"47"," Mets"," 2013"," 6866"," 15.9"," 9.9"," 39.9%"," 1.6%"," 3942"," 23.0"," 17.0"," 2.1%"," 11.9%"," 
                Compare
            "
"48"," Padres"," 2010"," 7453"," 15.9"," 9.9"," 42.8%"," 2.2%"," 3806"," 22.0"," 16.0"," 4.1%"," 13.1%"," 
                Compare
            "
